Desglose Geográfico,Desglose por sexo,edad_agrupada,Nombre de medidas,Todas las causas,Prom. Número de registros,Valores de medidas
Nacional,Ambos Sexos,15 a 19,Prob. específica de morir por causa ,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,10 a 14,Prob. específica de morir por causa ,Todas las causas no excluídas,1,1.223418237e-18
Nacional,Ambos Sexos,5 a 9,Prob. específica de morir por causa ,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,1 a 4,Prob. específica de morir por causa ,Todas las causas no excluídas,1,-4.157139792e-19
Nacional,Ambos Sexos,Menor de 1,Prob. específica de morir por causa ,Todas las causas no excluídas,1,2.344538529e-17
Nacional,Ambos Sexos,85 años y +,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.141979524
Nacional,Ambos Sexos,80 a 84,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.072945258
Nacional,Ambos Sexos,75 a 79,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.044768323
Nacional,Ambos Sexos,70 a 74,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.029266259
Nacional,Ambos Sexos,65 a 69,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.019379611
Nacional,Ambos Sexos,60 a 64,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.013255499
Nacional,Ambos Sexos,55 a 59,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.008944455
Nacional,Ambos Sexos,50 a 54,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.006010227
Nacional,Ambos Sexos,45 a 49,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.004368997
Nacional,Ambos Sexos,40 a 44,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.003144311
Nacional,Ambos Sexos,35 a 39,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.002446944
Nacional,Ambos Sexos,30 a 34,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.002132399
Nacional,Ambos Sexos,25 a 29,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.001739819
Nacional,Ambos Sexos,20 a 24,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.001411694
Nacional,Ambos Sexos,15 a 19,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.000848631
Nacional,Ambos Sexos,10 a 14,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.000288149
Nacional,Ambos Sexos,5 a 9,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.000229329
Nacional,Ambos Sexos,1 a 4,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.000538294
Nacional,Ambos Sexos,Menor de 1,Tasa Gral. (-causas),Todas las causas no excluídas,1,0.010521846
Nacional,Ambos Sexos,85 años y +,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,-2.182787284e-10
Nacional,Ambos Sexos,80 a 84,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,75 a 79,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,1.455191523e-11
Nacional,Ambos Sexos,70 a 74,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,-1.455191523e-11
Nacional,Ambos Sexos,65 a 69,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,1.018634066e-10
Nacional,Ambos Sexos,60 a 64,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,8.731149137e-11
Nacional,Ambos Sexos,55 a 59,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,7.275957614e-12
Nacional,Ambos Sexos,50 a 54,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,2.910383046e-11
Nacional,Ambos Sexos,45 a 49,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,-1.455191523e-11
Nacional,Ambos Sexos,40 a 44,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,4.729372449e-11
Nacional,Ambos Sexos,35 a 39,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,1.455191523e-11
Nacional,Ambos Sexos,30 a 34,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,-3.637978807e-12
Nacional,Ambos Sexos,25 a 29,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,-7.275957614e-12
Nacional,Ambos Sexos,20 a 24,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,1.273292582e-11
Nacional,Ambos Sexos,15 a 19,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,10 a 14,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,2.728484105e-12
Nacional,Ambos Sexos,5 a 9,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,0
Nacional,Ambos Sexos,1 a 4,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,-9.094947018e-13
Nacional,Ambos Sexos,Menor de 1,Muertes por causa(s) excluidas,Todas las causas no excluídas,1,5.093170330e-11
Nacional,Ambos Sexos,85 años y +,Muertes (-causas),Todas las causas no excluídas,1,130760.302223358
Nacional,Ambos Sexos,80 a 84,Muertes (-causas),Todas las causas no excluídas,1,76872.630393028
Nacional,Ambos Sexos,75 a 79,Muertes (-causas),Todas las causas no excluídas,1,74596.067941646
Nacional,Ambos Sexos,70 a 74,Muertes (-causas),Todas las causas no excluídas,1,70712.431854998
Nacional,Ambos Sexos,65 a 69,Muertes (-causas),Todas las causas no excluídas,1,65022.336433770
Nacional,Ambos Sexos,60 a 64,Muertes (-causas),Todas las causas no excluídas,1,59955.193687971
Nacional,Ambos Sexos,55 a 59,Muertes (-causas),Todas las causas no excluídas,1,50766.322301925
Nacional,Ambos Sexos,50 a 54,Muertes (-causas),Todas las causas no excluídas,1,40400.147858574
Nacional,Ambos Sexos,45 a 49,Muertes (-causas),Todas las causas no excluídas,1,33791.821470284
Nacional,Ambos Sexos,40 a 44,Muertes (-causas),Todas las causas no excluídas,1,26082.488599059
Nacional,Ambos Sexos,35 a 39,Muertes (-causas),Todas las causas no excluídas,1,21686.292828542
Nacional,Ambos Sexos,30 a 34,Muertes (-causas),Todas las causas no excluídas,1,20798.184868072
Nacional,Ambos Sexos,25 a 29,Muertes (-causas),Todas las causas no excluídas,1,18406.433245224
Nacional,Ambos Sexos,20 a 24,Muertes (-causas),Todas las causas no excluídas,1,15331.512222170
Nacional,Ambos Sexos,15 a 19,Muertes (-causas),Todas las causas no excluídas,1,9386.060446062
Nacional,Ambos Sexos,10 a 14,Muertes (-causas),Todas las causas no excluídas,1,3211.080288508
Nacional,Ambos Sexos,5 a 9,Muertes (-causas),Todas las causas no excluídas,1,2537.082445790
Nacional,Ambos Sexos,1 a 4,Muertes (-causas),Todas las causas no excluídas,1,4704.278053509
Nacional,Ambos Sexos,Menor de 1,Muertes (-causas),Todas las causas no excluídas,1,22650.408998282
Nacional,Ambos Sexos,85 años y +,Prob. de morir,Todas las causas no excluídas,1,1
Nacional,Ambos Sexos,80 a 84,Prob. de morir,Todas las causas no excluídas,1,0.308838364
Nacional,Ambos Sexos,75 a 79,Prob. de morir,Todas las causas no excluídas,1,0.201695683
