año,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2012,mujer,-,-,-,media,-,-,,,,
2012,mujer,-,-,-,superior,-,-,,,,
2012,hombre,-,-,-,-,bajo,-,6.3,4.6,8.7,622000
2012,hombre,-,-,-,-,medio,-,6.6,4.9,8.8,679000
2012,hombre,-,-,-,-,alto,-,13,9.3,17.9,1293000
2012,mujer,-,-,-,-,bajo,-,8.8,7.3,10.5,877000
2012,mujer,-,-,-,-,medio,-,9.5,7.5,12,1094000
2012,mujer,-,-,-,-,alto,-,9.6,7.2,12.8,1070000
2012,hombre,-,-,-,-,-,no,,,,
2012,hombre,-,-,-,-,-,si,,,,
2012,mujer,-,-,-,-,-,no,,,,
2012,mujer,-,-,-,-,-,si,,,,
2016,-,-,-,-,-,-,-,9.6,8.2,11.1,6355000
2016,hombre,-,-,-,-,-,-,7.8,5.9,10.2,2456000
2016,mujer,-,-,-,-,-,-,11.2,9.3,13.6,3899000
2016,-,20-39,-,-,-,-,-,2,1.1,3.4,641000
2016,-,40-59,-,-,-,-,-,12.9,10.1,16.4,2992000
2016,-,60+,-,-,-,-,-,24.9,20,30.5,2722000
2016,-,-,rural,-,-,-,-,9.1,7.4,11,1361000
2016,-,-,urbano,-,-,-,-,9.7,8.1,11.7,4994000
2016,-,-,-,norte ,-,-,-,10.2,7.1,14.4,1320000
2016,-,-,-,centro,-,-,-,8.4,6.3,11.1,1901000
2016,-,-,-,cdmx,-,-,-,9.1,6.1,13.5,1088000
2016,-,-,-,sur,-,-,-,10.9,8.7,13.6,2047000
2016,-,-,-,-,primaria o menos ,-,-,15.1,12.7,17.9,3550000
2016,-,-,-,-,secundaria,-,-,7,5,9.8,1388000
2016,-,-,-,-,media,-,-,7.6,4.4,12.8,980000
2016,-,-,-,-,superior,-,-,,,,437000
2016,-,-,-,-,-,bajo,-,8.5,6.5,11,1200000
2016,-,-,-,-,-,medio,-,10.7,8.4,13.7,2183000
2016,-,-,-,-,-,alto,-,9.3,7.2,12,2972000
2016,-,-,-,-,-,-,no,,,,
2016,-,-,-,-,-,-,si,,,,
2016,hombre,20-39,-,-,-,-,-,,,,
2016,hombre,40-59,-,-,-,-,-,13.4,8.7,19.9,1368000
2016,hombre,60+,-,-,-,-,-,18.8,13.3,25.9,1059000
2016,mujer,20-39,-,-,-,-,-,,,,
2016,mujer,40-59,-,-,-,-,-,12.6,9.4,16.7,1624000
2016,mujer,60+,-,-,-,-,-,31.4,24.9,38.7,1664000
2016,hombre,-,rural,-,-,-,-,7.3,4.9,10.6,525000
2016,hombre,-,urbano,-,-,-,-,7.9,5.6,11,1931000
2016,mujer,-,rural,-,-,-,-,10.7,8.8,12.9,837000
2016,mujer,-,urbano,-,-,-,-,11.4,9,14.4,3063000
2016,hombre,-,-,norte ,-,-,-,,,,
2016,hombre,-,-,centro,-,-,-,,,,
2016,hombre,-,-,cdmx,-,-,-,,,,
2016,hombre,-,-,sur,-,-,-,,,,
2016,mujer,-,-,norte ,-,-,-,,,,
2016,mujer,-,-,centro,-,-,-,,,,
2016,mujer,-,-,cdmx,-,-,-,,,,
2016,mujer,-,-,sur,-,-,-,,,,
2016,hombre,-,-,-,primaria o menos ,-,-,,,,
2016,hombre,-,-,-,secundaria,-,-,,,,
2016,hombre,-,-,-,media,-,-,,,,
2016,hombre,-,-,-,superior,-,-,,,,
2016,mujer,-,-,-,primaria o menos ,-,-,,,,
2016,mujer,-,-,-,secundaria,-,-,,,,
2016,mujer,-,-,-,media,-,-,,,,
2016,mujer,-,-,-,superior,-,-,,,,
2016,hombre,-,-,-,-,bajo,-,,,,
2016,hombre,-,-,-,-,medio,-,,,,
2016,hombre,-,-,-,-,alto,-,,,,
2016,mujer,-,-,-,-,bajo,-,,,,
2016,mujer,-,-,-,-,medio,-,,,,
2016,mujer,-,-,-,-,alto,-,,,,
2016,hombre,-,-,-,-,-,no,,,,
2016,hombre,-,-,-,-,-,si,,,,
2016,mujer,-,-,-,-,-,no,,,,
2016,mujer,-,-,-,-,-,si,,,,
2018,-,-,-,-,-,-,-,10.5,9.6,11.3,8174000
2018,hombre,-,-,-,-,-,-,8.9,7.9,10.1,3231000
2018,mujer,-,-,-,-,-,-,11.7,10.5,13.1,4943000
2018,-,20-39,-,-,-,-,-,1.9,1.4,2.4,602000
2018,-,40-59,-,-,-,-,-,12.2,10.8,13.8,3611000
2018,-,60+,-,-,-,-,-,24.6,21.9,27.6,3960000
2018,-,-,rural,-,-,-,-,8.6,7.6,9.8,1452000
2018,-,-,urbano,-,-,-,-,11,10,12,6723000
2018,-,-,-,norte ,-,-,-,11.8,10.1,13.6,1762000
2018,-,-,-,centro,-,-,-,8.7,7.6,9.9,2256000
2018,-,-,-,cdmx,-,-,-,11.9,9,15.5,1584000
2018,-,-,-,sur,-,-,-,10.8,9.6,12.1,2573000
2018,-,-,-,-,primaria o menos ,-,-,18.1,16.3,20.1,4528000
2018,-,-,-,-,secundaria,-,-,8.7,7.4,10.1,1830000
2018,-,-,-,-,media,-,-,6,4.7,7.7,1084000
2018,-,-,-,-,superior,-,-,5.2,3.9,7,732000
2018,-,-,-,-,-,bajo,-,10.3,9.1,11.6,2356000
2018,-,-,-,-,-,medio,-,11,9.7,12.4,2836000
2018,-,-,-,-,-,alto,-,10.1,8.7,11.8,2982000
2018,-,-,-,-,-,-,no,9.2,8.4,10.1,6583000
2018,-,-,-,-,-,-,si,23.8,20,28.2,1591000
2018,hombre,20-39,-,-,-,-,-,1.7,1.2,2.4,264000
2018,hombre,40-59,-,-,-,-,-,10.8,8.8,13,1423000
2018,hombre,60+,-,-,-,-,-,22,18.8,25.5,1544000
2018,mujer,20-39,-,-,-,-,-,2,1.4,2.8,338000
2018,mujer,40-59,-,-,-,-,-,13.4,11.5,15.5,2188000
2018,mujer,60+,-,-,-,-,-,26.6,22.5,31.1,2417000
2018,hombre,-,rural,-,-,-,-,7.2,5.8,8.8,602000
2018,hombre,-,urbano,-,-,-,-,9.5,8.3,10.9,2629000
2018,mujer,-,rural,-,-,-,-,10.1,8.6,11.8,850000
2018,mujer,-,urbano,-,-,-,-,12.2,10.7,13.8,4093000
2018,hombre,-,-,norte ,-,-,-,8,6.1,10.3,553000
2018,hombre,-,-,centro,-,-,-,8.5,7.1,10.2,1080000
2018,hombre,-,-,cdmx,-,-,-,10.9,7.2,16.3,602000
2018,hombre,-,-,sur,-,-,-,9.1,7.7,10.8,995000
2018,mujer,-,-,norte ,-,-,-,15.1,12.7,17.9,1209000
2018,mujer,-,-,centro,-,-,-,8.8,7.4,10.5,1175000
2018,mujer,-,-,cdmx,-,-,-,12.5,8.5,18.1,981000
2018,mujer,-,-,sur,-,-,-,12.2,10.5,14.2,1577000
2018,hombre,-,-,-,primaria o menos ,-,-,15.1,13.1,17.4,1623000
2018,hombre,-,-,-,secundaria,-,-,6.7,5.1,8.6,660000
2018,hombre,-,-,-,media,-,-,6.9,4.7,9.9,555000
2018,hombre,-,-,-,superior,-,-,5.3,3.7,7.6,392000
2018,mujer,-,-,-,primaria o menos ,-,-,20.4,17.7,23.4,2905000
2018,mujer,-,-,-,secundaria,-,-,10.5,8.7,12.6,1169000
2018,mujer,-,-,-,media,-,-,5.3,3.8,7.3,529000
2018,mujer,-,-,-,superior,-,-,5,3.1,8.2,340000
2018,hombre,-,-,-,-,bajo,-,7.4,6.1,9,811000
2018,hombre,-,-,-,-,medio,-,9.9,8.1,12,1156000
2018,hombre,-,-,-,-,alto,-,9.4,7.6,11.5,1264000
2018,mujer,-,-,-,-,bajo,-,12.8,11,14.9,1545000
2018,mujer,-,-,-,-,medio,-,11.9,10.2,14,1680000
2018,mujer,-,-,-,-,alto,-,10.8,8.5,13.5,1718000
2018,hombre,-,-,-,-,-,no,7.8,6.8,8.8,2598000
2018,hombre,-,-,-,-,-,si,23.4,18.1,29.7,633000
2018,mujer,-,-,-,-,-,no,10.5,9.3,11.8,3985000
2018,mujer,-,-,-,-,-,si,24.1,18.9,30.2,958000
2020,-,-,-,-,-,-,-,,,,
2020,hombre,-,-,-,-,-,-,,,,
2020,mujer,-,-,-,-,-,-,,,,
2020,-,20-39,-,-,-,-,-,,,,
2020,-,40-59,-,-,-,-,-,,,,
2020,-,60+,-,-,-,-,-,,,,
2020,-,-,rural,-,-,-,-,,,,
2020,-,-,urbano,-,-,-,-,,,,
2020,-,-,-,norte ,-,-,-,,,,
2020,-,-,-,centro,-,-,-,,,,
2020,-,-,-,cdmx,-,-,-,,,,
2020,-,-,-,sur,-,-,-,,,,
2020,-,-,-,-,primaria o menos ,-,-,,,,
2020,-,-,-,-,secundaria,-,-,,,,
2020,-,-,-,-,media,-,-,,,,
2020,-,-,-,-,superior,-,-,,,,
2020,-,-,-,-,-,bajo,-,,,,
2020,-,-,-,-,-,medio,-,,,,
2020,-,-,-,-,-,alto,-,,,,
2020,-,-,-,-,-,-,no,,,,
2020,-,-,-,-,-,-,si,,,,
2020,hombre,20-39,-,-,-,-,-,,,,
2020,hombre,40-59,-,-,-,-,-,,,,
2020,hombre,60+,-,-,-,-,-,,,,
2020,mujer,20-39,-,-,-,-,-,,,,
2020,mujer,40-59,-,-,-,-,-,,,,
2020,mujer,60+,-,-,-,-,-,,,,
2020,hombre,-,rural,-,-,-,-,,,,
2020,hombre,-,urbano,-,-,-,-,,,,
2020,mujer,-,rural,-,-,-,-,,,,
2020,mujer,-,urbano,-,-,-,-,,,,
2020,hombre,-,-,norte ,-,-,-,,,,
2020,hombre,-,-,centro,-,-,-,,,,
2020,hombre,-,-,cdmx,-,-,-,,,,
2020,hombre,-,-,sur,-,-,-,,,,
2020,mujer,-,-,norte ,-,-,-,,,,
2020,mujer,-,-,centro,-,-,-,,,,
2020,mujer,-,-,cdmx,-,-,-,,,,
2020,mujer,-,-,sur,-,-,-,,,,
2020,hombre,-,-,-,primaria o menos ,-,-,,,,
2020,hombre,-,-,-,secundaria,-,-,,,,
2020,hombre,-,-,-,media,-,-,,,,
2020,hombre,-,-,-,superior,-,-,,,,
2020,mujer,-,-,-,primaria o menos ,-,-,,,,
2020,mujer,-,-,-,secundaria,-,-,,,,
2020,mujer,-,-,-,media,-,-,,,,
2020,mujer,-,-,-,superior,-,-,,,,
2020,hombre,-,-,-,-,bajo,-,,,,
2020,hombre,-,-,-,-,medio,-,,,,
2020,hombre,-,-,-,-,alto,-,,,,
2020,mujer,-,-,-,-,bajo,-,,,,
2020,mujer,-,-,-,-,medio,-,,,,
2020,mujer,-,-,-,-,alto,-,,,,
