gbd_scat;sexo;Egresos
I.A.10.x. Lepra;Hombres;175
I.A.05.b. Poliomielitis;Hombres;117
II.N.03.x. Anodoncia y pérdida de dientes;Hombres;142
IV.B.01.x. Examen de pesquiza especial para tumores;Hombres;115
I.A.05.e. Tétanos;Hombres;361
I.A.09.b. Esquistosomiasis;Hombres;254
I.A.09.a. Tripanosomiasis;Hombres;315
II.E.12.x. Trastorno de pánico;Hombres;220
I.A.02.c. Gonorrea;Hombres;136
II.M.02.x. Anencefalia y malformaciones similares;Hombres;614
I.E.05.x. Otros trastornos nutricionales;Hombres;690
I.A.07.a. Hepatitis B;Hombres;738
II.E.11.x. Trastornos obsesivo-compulsivos;Hombres;687
I.A.08.x. Malaria;Hombres;732
II.F.03.x. Presbiopía;Hombres;377
II.M.07.x. Agenesia renal;Hombres;889
IV.A.01.x. Control de salud de rutina del niño;Hombres;919
IV.C.01.x. Examen de pesquiza especial para otras enfermedades y trastornos (diferentes a tumores);Hombres;850
II.L.03.x. Gota;Hombres;2254
II.E.07.x. Enfermedad de Parkinson;Hombres;1460
II.F.04.x. Sordera;Hombres;1321
I.A.14.a. Ascariasis;Hombres;1513
I.A.07.b. Hepatitis C;Hombres;2152
II.E.08.x. Esclerosis múltiple;Hombres;1374
I.A.02.a. Sífilis;Hombres;2645
II.E.14.x. Migraña;Hombres;1627
II.M.08.x. Síndrome de Down;Hombres;2801
II.M.03.x. Atresia anorectal;Hombres;3330
II.M.06.x. Fístula traquoesofágica, atresia y estenosis esofágica;Hombres;3148
II.E.10.x. Estrés post-traumático;Hombres;2445
II.G.01.x. Enfermedad cardíaca reumática;Hombres;2515
II.A.02.x. Tumor maligno del esófago;Hombres;6282
II.M.01.x. Defectos de la pared abdominal;Hombres;4482
II.N.02.x. Enfermedad periodontal;Hombres;4094
I.A.05.a. Tos ferina;Hombres;5529
II.L.01.x. Artritis reumatoide;Hombres;2832
I.A.07.c. Otras hepatitis virales;Hombres;5695
II.M.10.x. Espina bífida;Hombres;6043
I.A.06.x. Meningitis;Hombres;7270
II.M.04.x. Labio leporino;Hombres;7557
II.F.01.x. Glaucoma;Hombres;5531
II.A.14.x. Tumor maligno de la vejiga;Hombres;8997
II.E.15.x. Retraso mental;Hombres;7318
II.A.06.x. Tumor maligno del páncreas;Hombres;7459
I.B.03.x. Otitis media;Hombres;7939
II.A.05.x. Tumor maligno del hígado;Hombres;9304
II.G.05.x. Enfermedades inflamatorias del corazón (excepto Fiebre reumática);Hombres;10898
III.A.02.x. Fracturas de la columna vertebral (cervical, dorsal y lumbar);Hombres;13888
II.N.01.x. Caries dental;Hombres;9205
II.E.06.x. Demencia y otros trastornos degenerativos y hereditarios del Sistema Nervioso Central;Hombres;13416
II.A.01.x. Tumor maligno de la boca y orofaringe;Hombres;15957
II.A.07.x. Tumor maligno de tráquea, bronquios y pulmón;Hombres;17650
III.B.01.x. Amputaciones de miembros superior e inferior;Hombres;23526
II.A.03.x. Tumor maligno del estómago;Hombres;16908
II.A.11.x. Tumor maligno del cuerpo del útero;Hombres;41
I.E.01.x. Desnutrición calórico protéica;Hombres;17088
II.I.02.x. Ulcera péptica;Hombres;20830
