año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_diagnostico_de_hipertension,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_hipertension
2016,estratificado,-,-,-,-,secundaria,-,-,11.2,9.0,13.8,2252000
2016,estratificado,-,-,-,-,media,-,-,11.5,6.7,19.0,1526000
2016,estratificado,-,-,-,-,superior,-,-,8.2,5.4,12.2,910000
2016,estratificado,-,-,-,-,-,bajo,-,11.6,10.0,13.4,1625000
2016,estratificado,-,-,-,-,-,medio,-,15.9,12.8,19.5,3222000
2016,estratificado,-,-,-,-,-,alto,-,16.6,13.4,20.4,5552000
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,,,,
2016,estratificado,hombre,40-59,-,-,-,-,-,15.0,11.7,19.0,1544000
2016,estratificado,hombre,60+,-,-,-,-,-,29.2,23.5,35.7,1645000
2016,estratificado,mujer,20-39,-,-,-,-,-,,,,
2016,estratificado,mujer,40-59,-,-,-,-,-,22.6,19.0,26.8,2711000
2016,estratificado,mujer,60+,-,-,-,-,-,46.4,40.6,52.3,2733000
2016,estratificado,hombre,-,rural,-,-,-,-,9.5,7.2,12.4,732000
2016,estratificado,hombre,-,urbano,-,-,-,-,12.9,9.5,17.3,3277000
2016,estratificado,mujer,-,rural,-,-,-,-,16.4,13.2,20.2,1273000
2016,estratificado,mujer,-,urbano,-,-,-,-,19.0,16.0,22.5,5117000
2016,estratificado,hombre,-,-,norte ,-,-,-,,,,
2016,estratificado,hombre,-,-,centro,-,-,-,,,,
2016,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2016,estratificado,hombre,-,-,sur,-,-,-,,,,
2016,estratificado,mujer,-,-,norte ,-,-,-,,,,
2016,estratificado,mujer,-,-,centro,-,-,-,,,,
2016,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2016,estratificado,mujer,-,-,sur,-,-,-,,,,
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2016,estratificado,hombre,-,-,-,media,-,-,,,,
2016,estratificado,hombre,-,-,-,superior,-,-,,,,
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2016,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2016,estratificado,mujer,-,-,-,media,-,-,,,,
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,8.6,6.4,11.3,596000
2016,estratificado,hombre,-,-,-,-,medio,-,10.3,7.8,13.4,990000
2016,estratificado,hombre,-,-,-,-,alto,-,14.6,9.9,21.0,2423000
2016,estratificado,mujer,-,-,-,-,bajo,-,14.5,12.4,16.9,1029000
2016,estratificado,mujer,-,-,-,-,medio,-,21.0,16.2,26.8,2232000
2016,estratificado,mujer,-,-,-,-,alto,-,18.5,14.8,22.9,3129000
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional ,-,-,-,-,-,-,-,21.6,20.4,22.9,15190000
2018,estratificado,hombre,-,-,-,-,-,-,17.9,16.3,19.7,5293000
2018,estratificado,mujer,-,-,-,-,-,-,24.4,22.8,26.1,9897000
2018,estratificado,-,20-39,-,-,-,-,-,6.9,6.0,7.9,1930000
2018,estratificado,-,40-59,-,-,-,-,-,23.0,21.1,25.0,5931000
2018,estratificado,-,60+,-,-,-,-,-,45.0,41.9,48.2,7330000
2018,estratificado,-,-,rural,-,-,-,-,18.2,16.5,20.0,2805000
2018,estratificado,-,-,urbano,-,-,-,-,22.6,21.2,24.1,12385000
2018,estratificado,-,-,-,norte ,-,-,-,25.7,23.4,28.1,3504000
2018,estratificado,-,-,-,centro,-,-,-,18.6,16.8,20.4,4356000
2018,estratificado,-,-,-,cdmx,-,-,-,23.3,18.8,28.6,2465000
2018,estratificado,-,-,-,sur,-,-,-,21.6,19.9,23.5,4865000
2018,estratificado,-,-,-,-,primaria o menos,-,-,31.7,29.6,33.9,7665000
