año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_diagnostico_de_diabetes,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_diagnostico_de_diabetes
2012,estratificado,hombre,-,-,-,media,-,-,6.5,5.2,8,"403,372"
2012,estratificado,hombre,-,-,-,superior,-,-,6.8,5.5,8.3,"366,317"
2012,estratificado,mujer,-,-,-,primaria o menos,-,-,16.3,15.3,17.3,"2,478,757"
2012,estratificado,mujer,-,-,-,secundaria,-,-,5.7,4.9,6.7,"548,604"
2012,estratificado,mujer,-,-,-,media,-,-,4.1,3.3,5.1,"298,693"
2012,estratificado,mujer,-,-,-,superior,-,-,4.9,3.7,6.6,"231,486"
2012,estratificado,hombre,-,-,-,-,bajo,-,6.2,5.5,7,"648,527"
2012,estratificado,hombre,-,-,-,-,medio,-,8.3,7.4,9.3,"933,097"
2012,estratificado,hombre,-,-,-,-,alto,-,11.1,9.9,12.5,"1,259,432"
2012,estratificado,mujer,-,-,-,-,bajo,-,8.7,7.9,9.4,"1,010,860"
2012,estratificado,mujer,-,-,-,-,medio,-,10.6,9.6,11.7,"1,324,932"
2012,estratificado,mujer,-,-,-,-,alto,-,9.7,8.6,10.8,"1,234,101"
2012,estratificado,hombre,-,-,-,-,-,no,17.4,13.4,22.2,"177,388"
2012,estratificado,hombre,-,-,-,-,-,si,23.7,21.2,26.5,"937,919"
2012,estratificado,mujer,-,-,-,-,-,no,23.2,18.8,28.1,"271,145"
2012,estratificado,mujer,-,-,-,-,-,si,26.5,24.4,28.8,"1,205,760"
2016,nacional,-,-,-,-,-,-,-,9.4,8.2,10.8,"6,440,575"
2016,estratificado,hombre,-,-,-,-,-,-,8.4,7,10.1,"2,679,217"
2016,estratificado,mujer,-,-,-,-,-,-,10.3,8.5,12.5,"3,771,996"
2016,estratificado,-,20-39,-,-,-,-,-,1.5,1.1,2.1,"519,779"
2016,estratificado,-,40-59,-,-,-,-,-,12.4,10.5,14.5,"2,748,998"
2016,estratificado,-,60+,-,-,-,-,-,27.4,23.2,31.9,"3,204,555"
2016,estratificado,-,-,rural,-,-,-,-,9.3,7.8,11,"1,485,250"
2016,estratificado,-,-,urbano,-,-,-,-,9.5,8,11.2,"4,991,901"
2016,estratificado,-,-,-,norte ,-,-,-,8.7,6.8,11,"1,270,114"
2016,estratificado,-,-,-,centro,-,-,-,9.8,7.3,13,"2,186,010"
2016,estratificado,-,-,-,cdmx,-,-,-,8.3,5.7,11.9,"962,374"
2016,estratificado,-,-,-,sur,-,-,-,10.2,8.5,12.3,"2,041,699"
2016,estratificado,-,-,-,-,primaria o menos,-,-,15.9,13.5,18.6,"3,755,192"
2016,estratificado,-,-,-,-,secundaria,-,-,7,5.5,9,"1,427,929"
2016,estratificado,-,-,-,-,media,-,-,6.4,4.7,8.8,"868,346"
2016,estratificado,-,-,-,-,superior,-,-,3.7,2.4,5.5,"404,495"
2016,estratificado,-,-,-,-,-,bajo,-,8.2,6.9,9.8,"1,181,890"
2016,estratificado,-,-,-,-,-,medio,-,11.5,8.7,15,"2,349,913"
2016,estratificado,-,-,-,-,-,alto,-,8.7,7.2,10.6,"2,929,241"
2016,estratificado,-,-,-,-,-,-,no,,,,
2016,estratificado,-,-,-,-,-,-,si,,,,
2016,estratificado,hombre,20-39,-,-,-,-,-,,,,
2016,estratificado,hombre,40-59,-,-,-,-,-,12.9,10.1,16.3,"1,291,877"
2016,estratificado,hombre,60+,-,-,-,-,-,23.7,19,29.2,"1,310,422"
2016,estratificado,mujer,20-39,-,-,-,-,-,2.3,1.6,3.4,"420,906"
2016,estratificado,mujer,40-59,-,-,-,-,-,12,9.8,14.5,"1,458,575"
2016,estratificado,mujer,60+,-,-,-,-,-,30.6,24.4,37.6,"1,886,872"
2016,estratificado,hombre,-,rural,-,-,-,-,9,6.8,11.9,"693,118"
2016,estratificado,hombre,-,urbano,-,-,-,-,8.3,6.6,10.3,"2,008,112"
2016,estratificado,mujer,-,rural,-,-,-,-,9.5,8.1,11.1,"785,566"
2016,estratificado,mujer,-,urbano,-,-,-,-,10.5,8.3,13.4,"2,976,981"
2016,estratificado,hombre,-,-,norte ,-,-,-,7.5,5.3,10.4,"535,949"
2016,estratificado,hombre,-,-,centro,-,-,-,7.6,5.5,10.5,"785,303"
2016,estratificado,hombre,-,-,cdmx,-,-,-,6.4,3.9,10.3,"322,417"
2016,estratificado,hombre,-,-,sur,-,-,-,11.2,8.3,15,"1,050,420"
2016,estratificado,mujer,-,-,norte ,-,-,-,9.9,7.2,13.4,"737,849"
2016,estratificado,mujer,-,-,centro,-,-,-,11.7,7.6,17.6,"1,400,874"
2016,estratificado,mujer,-,-,cdmx,-,-,-,9.7,6.4,14.5,"636,039"
2016,estratificado,mujer,-,-,sur,-,-,-,9.4,7.4,11.8,"999,963"
2016,estratificado,hombre,-,-,-,primaria o menos,-,-,12.4,10.4,14.9,"1,339,498"
2016,estratificado,hombre,-,-,-,secundaria,-,-,7.2,4.5,11.3,"643,248"
2016,estratificado,hombre,-,-,-,media,-,-,6.4,3.7,10.6,"420,292"
2016,estratificado,hombre,-,-,-,superior,-,-,5.1,3,8.5,"285,190"
2016,estratificado,mujer,-,-,-,primaria o menos,-,-,18.8,15,23.4,"2,409,249"
2016,estratificado,mujer,-,-,-,secundaria,-,-,6.9,5.3,8.9,"791,084"
2016,estratificado,mujer,-,-,-,media,-,-,6.5,4.3,9.7,"455,055"
2016,estratificado,mujer,-,-,-,superior,-,-,,,,
2016,estratificado,hombre,-,-,-,-,bajo,-,6.9,5.1,9.4,"472,576"
2016,estratificado,hombre,-,-,-,-,medio,-,9.1,6.9,12.1,"856,142"
2016,estratificado,hombre,-,-,-,-,alto,-,8.7,6.4,11.7,"1,360,537"
2016,estratificado,mujer,-,-,-,-,bajo,-,9.4,7.5,11.8,"711,050"
2016,estratificado,mujer,-,-,-,-,medio,-,13.4,9,19.6,"1,477,468"
2016,estratificado,mujer,-,-,-,-,alto,-,8.8,6.9,11.1,"1,586,734"
2016,estratificado,hombre,-,-,-,-,-,no,,,,
2016,estratificado,hombre,-,-,-,-,-,si,,,,
2016,estratificado,mujer,-,-,-,-,-,no,,,,
2016,estratificado,mujer,-,-,-,-,-,si,,,,
2018,nacional,-,-,-,-,-,-,-,10.3,9.9,10.7,"8,525,056"
2018,estratificado,hombre,-,-,-,-,-,-,9.1,8.5,9.7,"3,417,245"
2018,estratificado,mujer,-,-,-,-,-,-,11.4,10.8,12,"5,154,555"
2018,estratificado,-,20-39,-,-,-,-,-,1.8,1.6,2.1,"663,873"
2018,estratificado,-,40-59,-,-,-,-,-,12.8,12.1,13.6,"3,794,256"
2018,estratificado,-,60+,-,-,-,-,-,25.1,23.8,26.4,"4,077,010"
2018,estratificado,-,-,rural,-,-,-,-,9,8.3,9.8,"1,579,227"
2018,estratificado,-,-,urbano,-,-,-,-,10.7,10.2,11.2,"6,978,600"
2018,estratificado,-,-,-,norte ,-,-,-,11.3,10.5,12.1,"1,929,286"
2018,estratificado,-,-,-,centro,-,-,-,9.2,8.6,9.9,"2,670,105"
2018,estratificado,-,-,-,cdmx,-,-,-,11.3,9.8,12.9,"1,289,765"
2018,estratificado,-,-,-,sur,-,-,-,10.5,9.8,11.2,"2,652,035"
2018,estratificado,-,-,-,-,primaria o menos,-,-,17.9,16.9,18.8,"4,642,754"
2018,estratificado,-,-,-,-,secundaria,-,-,8.7,8,9.5,"1,966,828"
2018,estratificado,-,-,-,-,media,-,-,6,5.3,6.7,"1,079,179"
2018,estratificado,-,-,-,-,superior,-,-,5.3,4.7,6.1,"860,551"
2018,estratificado,-,-,-,-,-,bajo,-,9.9,9.2,10.6,"2,381,010"
2018,estratificado,-,-,-,-,-,medio,-,11,10.3,11.8,"2,921,598"
2018,estratificado,-,-,-,-,-,alto,-,10,9.4,10.8,"3,215,694"
2018,estratificado,-,-,-,-,-,-,no,4.1,3.7,4.5,"1,352,778"
2018,estratificado,-,-,-,-,-,-,si,14.5,13.8,15.1,"7,217,078"
2018,estratificado,hombre,20-39,-,-,-,-,-,1.6,1.3,1.9,"274,107"
2018,estratificado,hombre,40-59,-,-,-,-,-,11.7,10.5,12.9,"1,566,519"
2018,estratificado,hombre,60+,-,-,-,-,-,22.4,20.6,24.4,"1,575,037"
2018,estratificado,mujer,20-39,-,-,-,-,-,2,1.7,2.4,"395,003"
2018,estratificado,mujer,40-59,-,-,-,-,-,13.8,12.7,14.9,"2,242,993"
2018,estratificado,mujer,60+,-,-,-,-,-,27.1,25.3,29,"2,496,358"
2018,estratificado,hombre,-,rural,-,-,-,-,7,6.1,7.9,"570,471"
2018,estratificado,hombre,-,urbano,-,-,-,-,9.6,9,10.4,"2,822,645"
2018,estratificado,mujer,-,rural,-,-,-,-,10.8,9.8,11.9,"1,014,918"
2018,estratificado,mujer,-,urbano,-,-,-,-,11.5,10.8,12.2,"4,119,071"
2018,estratificado,hombre,-,-,norte ,-,-,-,9.2,8.2,10.2,"725,360"
2018,estratificado,hombre,-,-,centro,-,-,-,8.8,7.9,9.8,"1,174,244"
2018,estratificado,hombre,-,-,cdmx,-,-,-,9.1,7.1,11.6,"460,732"
2018,estratificado,hombre,-,-,sur,-,-,-,9.3,8.4,10.2,"1,047,285"
2018,estratificado,mujer,-,-,norte ,-,-,-,13.1,12,14.3,"1,203,757"
2018,estratificado,mujer,-,-,centro,-,-,-,9.6,8.7,10.6,"1,505,203"
2018,estratificado,mujer,-,-,cdmx,-,-,-,13,10.9,15.5,"825,612"
2018,estratificado,mujer,-,-,sur,-,-,-,11.4,10.5,12.4,"1,595,584"
