año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_sobrepeso,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_sobrepeso
2018,estratificado,mujer,-,rural,-,-,-,-,36.0,33.7,38.4," 3,298,000 "
2018,estratificado,mujer,-,urbano,-,-,-,-,36.8,34.7,38.9," 13,329,000 "
2018,estratificado,hombre,-,-,norte ,-,-,-,40.1,36.7,43.6," 2,722,000 "
2018,estratificado,hombre,-,-,centro,-,-,-,43.4,40.4,46.4," 4,828,000 "
2018,estratificado,hombre,-,-,cdmx,-,-,-,41.9,34.6,49.5," 2,187,000 "
2018,estratificado,hombre,-,-,sur,-,-,-,43.7,40.9,46.5," 4,234,000 "
2018,estratificado,mujer,-,-,norte ,-,-,-,32.2,29.3,35.2," 2,920,000 "
2018,estratificado,mujer,-,-,centro,-,-,-,38.5,35.7,41.5," 5,374,000 "
2018,estratificado,mujer,-,-,cdmx,-,-,-,39.4,33.3,45.8," 3,257,000 "
2018,estratificado,mujer,-,-,sur,-,-,-,35.9,33.7,38.2," 5,076,000 "
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,43.2,40.2,46.3," 4,523,000 "
2018,estratificado,hombre,-,-,-,secundaria,-,-,43.6,40.1,47.2," 3,880,000 "
2018,estratificado,hombre,-,-,-,media,-,-,39.3,34.8,43.9," 2,835,000 "
2018,estratificado,hombre,-,-,-,superior,-,-,43.7,39.4,48.1," 2,734,000 "
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,34.3,32.0,36.8," 5,399,000 "
2018,estratificado,mujer,-,-,-,secundaria,-,-,36.8,33.9,39.8," 4,664,000 "
2018,estratificado,mujer,-,-,-,media,-,-,37.1,33.2,41.3," 3,802,000 "
2018,estratificado,mujer,-,-,-,superior,-,-,40.7,35.9,45.7," 2,762,000 "
2018,estratificado,hombre,-,-,-,-,bajo,-,42.6,39.7,45.6," 4,239,000 "
2018,estratificado,hombre,-,-,-,-,medio,-,42.7,39.4,46.1," 4,479,000 "
2018,estratificado,hombre,-,-,-,-,alto,-,42.4,39.0,45.8," 5,253,000 "
2018,estratificado,mujer,-,-,-,-,bajo,-,36.1,33.8,38.5," 4,810,000 "
2018,estratificado,mujer,-,-,-,-,medio,-,33.5,30.8,36.3," 5,119,000 "
2018,estratificado,mujer,-,-,-,-,alto,-,39.8,36.6,43.1," 6,699,000 "
2018,estratificado,hombre,-,-,-,-,-,no,42.7,40.7,44.6," 12,955,000 "
2018,estratificado,hombre,-,-,-,-,-,si,41.0,33.9,48.5," 1,016,000 "
2018,estratificado,mujer,-,-,-,-,-,no,36.9,35.2,38.8," 15,239,000 "
2018,estratificado,mujer,-,-,-,-,-,si,33.3,28.2,38.9," 1,389,000 "
2020,nacional ,-,-,-,-,-,-,-,38.1,36.9,39.4," 31,716,000 "
2020,estratificado,hombre,-,-,-,-,-,-,40.6,38.8,42.4," 16,259,000 "
2020,estratificado,mujer,-,-,-,-,-,-,35.8,34.2,37.5," 15,457,000 "
2020,estratificado,-,20-39,-,-,-,-,-,35.2,33.4,37.2," 13,054,000 "
2020,estratificado,-,40-59,-,-,-,-,-,40.8,38.7,42.9," 12,150,000 "
2020,estratificado,-,60+,-,-,-,-,-,39.8,37.4,42.3," 6,512,000 "
2020,estratificado,-,-,rural,-,-,-,-,38.7,36.2,41.3," 6,307,000 "
2020,estratificado,-,-,urbano,-,-,-,-,38.0,36.6,39.4," 25,409,000 "
2020,estratificado,-,-,-,norte ,-,-,-,34.6,31.9,37.3," 5,861,000 "
2020,estratificado,-,-,-,centro,-,-,-,38.7,36.6,40.8," 12,441,000 "
2020,estratificado,-,-,-,cdmx,-,-,-,41.3,38.3,44.4," 3,496,000 "
2020,estratificado,-,-,-,sur,-,-,-,38.7,36.6,40.9," 9,918,000 "
2020,estratificado,-,-,-,-,primaria o menos,-,-,39.3,37.0,41.5," 9,303,000 "
2020,estratificado,-,-,-,-,secundaria,-,-,37.4,35.2,39.6," 8,186,000 "
2020,estratificado,-,-,-,-,media,-,-,38.7,36.2,41.2," 7,286,000 "
2020,estratificado,-,-,-,-,superior,-,-,37.0,34.2,39.9," 6,941,000 "
