año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_sintomas_de_depresion_moderado_severo,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_sintomas_de_depresion_moderado_severo
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional,-,-,-,-,-,-,-,16.1,15.3,17.0,13677000
2021,estratificado,hombre,-,-,-,-,-,-,10.8,9.7,12.0,4389000
2021,estratificado,mujer,-,-,-,-,-,-,21.0,19.8,22.3,9288000
2021,estratificado,-,20-39,-,-,-,-,-,10.2,9.2,11.4,4023000
2021,estratificado,-,40-59,-,-,-,-,-,13.9,12.5,15.4,4100000
2021,estratificado,-,60+,-,-,-,-,-,34.7,32.3,37.2,5554000
2021,estratificado,-,-,rural,-,-,-,-,16.5,14.5,18.7,2788000
2021,estratificado,-,-,urbano,-,-,-,-,16.0,15.1,17.0,10889000
2021,estratificado,-,-,-,norte ,-,-,-,14.2,12.4,16.2,2431000
2021,estratificado,-,-,-,centro,-,-,-,14.8,13.7,16.1,4968000
2021,estratificado,-,-,-,cdmx,-,-,-,19.8,17.1,22.8,1688000
2021,estratificado,-,-,-,sur,-,-,-,17.9,16.1,19.8,4590000
2021,estratificado,-,-,-,-,primaria o menos,-,-,27.0,25.2,28.8,6305000
2021,estratificado,-,-,-,-,secundaria,-,-,14.7,13.1,16.4,3447000
2021,estratificado,-,-,-,-,media,-,-,11.8,10.1,13.6,2287000
2021,estratificado,-,-,-,-,superior,-,-,8.9,7.5,10.5,1638000
2021,estratificado,-,-,-,-,-,bajo,-,20.9,19.2,22.7,5308000
2021,estratificado,-,-,-,-,-,medio,-,17.4,15.7,19.1,4651000
2021,estratificado,-,-,-,-,-,alto,-,11.4,10.3,12.6,3718000
2021,estratificado,-,-,-,-,-,-,no,13.6,12.8,14.5,10654000
2021,estratificado,-,-,-,-,-,-,si,44.8,40.8,48.9,3022000
2021,estratificado,hombre,20-39,-,-,-,-,-,6.6,5.2,8.3,1242000
2021,estratificado,hombre,40-59,-,-,-,-,-,8.4,6.6,10.5,1136000
2021,estratificado,hombre,60+,-,-,-,-,-,24.9,22.0,28.1,2011000
2021,estratificado,mujer,20-39,-,-,-,-,-,13.6,12.2,15.2,2781000
2021,estratificado,mujer,40-59,-,-,-,-,-,18.6,16.7,20.7,2964000
2021,estratificado,mujer,60+,-,-,-,-,-,44.6,41.0,48.1,3543000
2021,estratificado,hombre,-,rural,-,-,-,-,11.6,9.4,14.2,962000
2021,estratificado,hombre,-,urbano,-,-,-,-,10.6,9.4,12.0,3427000
2021,estratificado,mujer,-,rural,-,-,-,-,21.3,18.6,24.3,1826000
2021,estratificado,mujer,-,urbano,-,-,-,-,20.9,19.6,22.3,7462000
2021,estratificado,hombre,-,-,norte ,-,-,-,9.3,6.8,12.5,772000
2021,estratificado,hombre,-,-,centro,-,-,-,10.3,8.7,12.1,1676000
2021,estratificado,hombre,-,-,cdmx,-,-,-,12.2,9.4,15.6,467000
2021,estratificado,hombre,-,-,sur,-,-,-,12.1,10.1,14.5,1473000
2021,estratificado,mujer,-,-,norte ,-,-,-,18.8,16.3,21.7,1659000
2021,estratificado,mujer,-,-,centro,-,-,-,19.1,17.5,20.9,3292000
2021,estratificado,mujer,-,-,cdmx,-,-,-,26.1,22.7,29.8,1220000
2021,estratificado,mujer,-,-,sur,-,-,-,23.0,20.4,25.8,3117000
2021,estratificado,hombre,-,-,-,primaria o menos,-,-,19.0,16.7,21.4,2065000
2021,estratificado,hombre,-,-,-,secundaria,-,-,8.6,6.9,10.8,915000
2021,estratificado,hombre,-,-,-,media,-,-,8.4,6.2,11.2,790000
2021,estratificado,hombre,-,-,-,superior,-,-,6.4,4.6,8.9,619000
2021,estratificado,mujer,-,-,-,primaria o menos,-,-,34.0,31.5,36.5,4240000
2021,estratificado,mujer,-,-,-,secundaria,-,-,19.6,17.4,22.0,2532000
2021,estratificado,mujer,-,-,-,media,-,-,15.0,12.8,17.4,1497000
2021,estratificado,mujer,-,-,-,superior,-,-,11.5,9.4,14.0,1018000
2021,estratificado,hombre,-,-,-,-,bajo,-,14.5,12.5,16.7,1785000
2021,estratificado,hombre,-,-,-,-,medio,-,11.9,9.7,14.6,1499000
2021,estratificado,hombre,-,-,-,-,alto,-,7.0,5.6,8.7,1104000
2021,estratificado,mujer,-,-,-,-,bajo,-,27.0,24.5,29.7,3522000
2021,estratificado,mujer,-,-,-,-,medio,-,22.1,20.0,24.4,3152000
2021,estratificado,mujer,-,-,-,-,alto,-,15.4,13.7,17.2,2613000
