año,nivel_de_agregacion,sexo,grupo_de_edad,tipo_de_localidad_rural_o_urbano,region_geografica_de_Mexico,nivel_educativo,nivel_socioeconomico,presencia_de_discapacidad,porcentaje_de_personas_con_inicio_de_vida_sexual_antes_de_15_aÒos,intervalo_de_confianza_inferior,intervalo_de_confianza_superior,poblacion_representada_con_inicio_de_vida_sexual_antes_de_15_aÒos
2018,estratificado,mujer,-,urbano,-,-,-,-,6.0,5.3,6.7,1218000
2018,estratificado,hombre,-,-,norte ,-,-,-,13.8,12.4,15.4,601000
2018,estratificado,hombre,-,-,centro,-,-,-,9.1,8.0,10.4,714000
2018,estratificado,hombre,-,-,cdmx,-,-,-,11.3,8.2,15.3,322000
2018,estratificado,hombre,-,-,sur,-,-,-,12.2,10.9,13.7,748000
2018,estratificado,mujer,-,-,norte ,-,-,-,6.8,5.8,8.0,356000
2018,estratificado,mujer,-,-,centro,-,-,-,5.4,4.5,6.5,497000
2018,estratificado,mujer,-,-,cdmx,-,-,-,7.0,5.0,9.8,234000
2018,estratificado,mujer,-,-,sur,-,-,-,7.6,6.6,8.7,611000
2018,estratificado,hombre,-,-,-,primaria o menos,-,-,14.8,12.5,17.4,526000
2018,estratificado,hombre,-,-,-,secundaria,-,-,13.9,12.4,15.6,942000
2018,estratificado,hombre,-,-,-,media,-,-,9.5,8.2,11.1,535000
2018,estratificado,hombre,-,-,-,superior,-,-,7.3,6.1,8.8,383000
2018,estratificado,mujer,-,-,-,primaria o menos,-,-,14.5,12.5,16.7,681000
2018,estratificado,mujer,-,-,-,secundaria,-,-,7.7,6.7,8.9,672000
2018,estratificado,mujer,-,-,-,media,-,-,3.8,2.9,5.0,254000
2018,estratificado,mujer,-,-,-,superior,-,-,1.6,1.1,2.4,90000
2018,estratificado,hombre,-,-,-,-,bajo,-,13.0,11.6,14.6,781000
2018,estratificado,hombre,-,-,-,-,medio,-,12.3,10.9,13.9,868000
2018,estratificado,hombre,-,-,-,-,alto,-,9.1,7.9,10.3,737000
2018,estratificado,mujer,-,-,-,-,bajo,-,10.6,9.3,12.0,817000
2018,estratificado,mujer,-,-,-,-,medio,-,6.1,5.2,7.3,528000
2018,estratificado,mujer,-,-,-,-,alto,-,3.7,3.0,4.6,353000
2018,estratificado,hombre,-,-,-,-,-,no,11.1,10.3,11.9,2277000
2018,estratificado,hombre,-,-,-,-,-,si,17.8,12.1,25.2,108000
2018,estratificado,mujer,-,-,-,-,-,no,6.6,6.0,7.2,1633000
2018,estratificado,mujer,-,-,-,-,-,si,7.1,4.6,10.9,65000
2020,nacional ,-,-,-,-,-,-,-,,,,
2020,estratificado,hombre,-,-,-,-,-,-,,,,
2020,estratificado,mujer,-,-,-,-,-,-,,,,
2020,estratificado,-,20-29,-,-,-,-,-,,,,
2020,estratificado,-,30-39,-,-,-,-,-,,,,
2020,estratificado,-,40-49,-,-,-,-,-,,,,
2020,estratificado,-,-,rural,-,-,-,-,,,,
2020,estratificado,-,-,urbano,-,-,-,-,,,,
2020,estratificado,-,-,-,norte ,-,-,-,,,,
2020,estratificado,-,-,-,centro,-,-,-,,,,
2020,estratificado,-,-,-,cdmx,-,-,-,,,,
2020,estratificado,-,-,-,sur,-,-,-,,,,
2020,estratificado,-,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,-,-,-,-,secundaria,-,-,,,,
2020,estratificado,-,-,-,-,media,-,-,,,,
2020,estratificado,-,-,-,-,superior,-,-,,,,
2020,estratificado,-,-,-,-,-,bajo,-,,,,
2020,estratificado,-,-,-,-,-,medio,-,,,,
2020,estratificado,-,-,-,-,-,alto,-,,,,
2020,estratificado,-,-,-,-,-,-,no,,,,
2020,estratificado,-,-,-,-,-,-,si,,,,
2020,estratificado,hombre,20-29,-,-,-,-,-,,,,
2020,estratificado,hombre,30-39,-,-,-,-,-,,,,
2020,estratificado,hombre,40-49,-,-,-,-,-,,,,
2020,estratificado,mujer,20-29,-,-,-,-,-,,,,
2020,estratificado,mujer,30-39,-,-,-,-,-,,,,
2020,estratificado,mujer,40-49,-,-,-,-,-,,,,
2020,estratificado,hombre,-,rural,-,-,-,-,,,,
2020,estratificado,hombre,-,urbano,-,-,-,-,,,,
2020,estratificado,mujer,-,rural,-,-,-,-,,,,
2020,estratificado,mujer,-,urbano,-,-,-,-,,,,
2020,estratificado,hombre,-,-,norte ,-,-,-,,,,
2020,estratificado,hombre,-,-,centro,-,-,-,,,,
2020,estratificado,hombre,-,-,cdmx,-,-,-,,,,
2020,estratificado,hombre,-,-,sur,-,-,-,,,,
2020,estratificado,mujer,-,-,norte ,-,-,-,,,,
2020,estratificado,mujer,-,-,centro,-,-,-,,,,
2020,estratificado,mujer,-,-,cdmx,-,-,-,,,,
2020,estratificado,mujer,-,-,sur,-,-,-,,,,
2020,estratificado,hombre,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,hombre,-,-,-,secundaria,-,-,,,,
2020,estratificado,hombre,-,-,-,media,-,-,,,,
2020,estratificado,hombre,-,-,-,superior,-,-,,,,
2020,estratificado,mujer,-,-,-,primaria o menos,-,-,,,,
2020,estratificado,mujer,-,-,-,secundaria,-,-,,,,
2020,estratificado,mujer,-,-,-,media,-,-,,,,
2020,estratificado,mujer,-,-,-,superior,-,-,,,,
2020,estratificado,hombre,-,-,-,-,bajo,-,,,,
2020,estratificado,hombre,-,-,-,-,medio,-,,,,
2020,estratificado,hombre,-,-,-,-,alto,-,,,,
2020,estratificado,mujer,-,-,-,-,bajo,-,,,,
2020,estratificado,mujer,-,-,-,-,medio,-,,,,
2020,estratificado,mujer,-,-,-,-,alto,-,,,,
2020,estratificado,hombre,-,-,-,-,-,no,,,,
2020,estratificado,hombre,-,-,-,-,-,si,,,,
2020,estratificado,mujer,-,-,-,-,-,no,,,,
2020,estratificado,mujer,-,-,-,-,-,si,,,,
2021,nacional ,-,-,-,-,-,-,-,8.8,7.9,9.7,4260000
2021,estratificado,hombre,-,-,-,-,-,-,11.0,9.6,12.7,2545000
2021,estratificado,mujer,-,-,-,-,-,-,6.7,5.8,7.8,1715000
2021,estratificado,-,20-29,-,-,-,-,-,10.2,8.7,11.9,1639000
2021,estratificado,-,30-39,-,-,-,-,-,7.6,6.3,9.2,1339000
2021,estratificado,-,40-49,-,-,-,-,-,8.6,7.1,10.3,1282000
2021,estratificado,-,-,rural,-,-,-,-,8.6,6.9,10.5,820000
2021,estratificado,-,-,urbano,-,-,-,-,8.8,7.8,9.9,3441000
2021,estratificado,-,-,-,norte ,-,-,-,9.9,7.8,12.5,986000
2021,estratificado,-,-,-,centro,-,-,-,7.5,6.3,8.8,1430000
2021,estratificado,-,-,-,cdmx,-,-,-,10.5,8.5,13.0,478000
2021,estratificado,-,-,-,sur,-,-,-,9.1,7.4,11.2,1367000
2021,estratificado,-,-,-,-,primaria o menos,-,-,14.4,11.8,17.4,1065000
2021,estratificado,-,-,-,-,secundaria,-,-,11.5,9.8,13.3,1781000
2021,estratificado,-,-,-,-,media,-,-,6.5,5.2,8.1,873000
2021,estratificado,-,-,-,-,superior,-,-,4.4,3.1,6.1,541000
2021,estratificado,-,-,-,-,-,bajo,-,12.4,10.7,14.4,1831000
2021,estratificado,-,-,-,-,-,medio,-,7.0,5.8,8.5,1112000
2021,estratificado,-,-,-,-,-,alto,-,7.3,5.9,9.0,1317000
2021,estratificado,-,-,-,-,-,-,no,8.6,7.7,9.5,4015000
2021,estratificado,-,-,-,-,-,-,si,12.8,8.0,20.0,246000
2021,estratificado,hombre,20-29,-,-,-,-,-,11.2,8.9,14.0,893000
2021,estratificado,hombre,30-39,-,-,-,-,-,10.6,8.2,13.6,838000
2021,estratificado,hombre,40-49,-,-,-,-,-,11.4,8.8,14.6,814000
2021,estratificado,mujer,20-29,-,-,-,-,-,9.2,7.3,11.5,746000
2021,estratificado,mujer,30-39,-,-,-,-,-,5.2,4.0,6.8,501000
2021,estratificado,mujer,40-49,-,-,-,-,-,6.0,4.6,7.7,468000
2021,estratificado,hombre,-,rural,-,-,-,-,7.3,5.4,9.9,333000
2021,estratificado,hombre,-,urbano,-,-,-,-,12.0,10.2,13.9,2213000
2021,estratificado,mujer,-,rural,-,-,-,-,9.7,7.7,12.0,487000
2021,estratificado,mujer,-,urbano,-,-,-,-,6.0,5.0,7.2,1228000
2021,estratificado,hombre,-,-,norte ,-,-,-,11.7,8.6,15.7,568000
2021,estratificado,hombre,-,-,centro,-,-,-,10.4,8.4,13.0,950000
2021,estratificado,hombre,-,-,cdmx,-,-,-,16.4,12.3,21.5,341000
2021,estratificado,hombre,-,-,sur,-,-,-,9.8,7.2,13.3,687000
2021,estratificado,mujer,-,-,norte ,-,-,-,8.2,5.9,11.2,418000
2021,estratificado,mujer,-,-,centro,-,-,-,4.8,3.8,6.1,480000
2021,estratificado,mujer,-,-,cdmx,-,-,-,5.6,3.6,8.5,137000
2021,estratificado,mujer,-,-,sur,-,-,-,8.5,6.6,10.9,680000
